Quarter,Bank_ID,Historical_Avg_NCO,Std_Dev,Trend,Recent_Momentum,Z_Score,Last_Value,Recent_Trend_Direction,Volatility_Ratio,ACF_1,Seasonal_Component,Market_Regime,Unemployment,Consumer_Confidence,Housing_Price_Index,Inflation,GDP_Growth,Portfolio_Diversification,Credit_Card_Fraction,Capital_Ratio,NPL_Ratio,Predicted_NCO,Return_Avg
Q2017Q1,3783948,0.001,0.004,-0.0001,0.010,0.52,0.003,Up,1.46,-0.216,0.002,ELEVATED_RISK,5.5,95.0,100.0,2.5,2.1,0.346,0.109,0.071,0.008,0.004,-2.0
Q2017Q3,3783948,0.001,0.004,-0.0001,0.001,0.71,0.004,Down,1.04,-0.371,0.002,ELEVATED_RISK,5.5,95.0,100.0,2.5,2.1,0.282,0.085,0.069,0.007,N/A,-2.0
Q2018Q1,3783948,0.001,0.004,0.0004,0.011,0.67,0.004,Up,1.16,-0.164,0.002,ELEVATED_RISK,5.5,95.0,100.0,2.5,2.1,0.305,0.109,0.067,0.007,N/A,-2.0
Q2018Q3,3783948,0.001,0.005,-0.0001,-0.001,0.63,0.004,Down,1.31,-0.310,0.002,ELEVATED_RISK,5.5,95.0,100.0,2.5,2.1,0.242,0.088,0.070,0.006,N/A,-2.0
Q2019Q1,3783948,0.001,0.005,0.0004,0.013,0.63,0.004,Up,1.18,-0.221,0.003,ELEVATED_RISK,5.5,95.0,100.0,2.5,2.1,0.250,0.116,0.073,0.005,0.005,-2.0
Q2019Q3,3783948,0.001,0.005,-0.0001,0.002,0.90,0.006,Down,1.08,-0.380,0.004,ELEVATED_RISK,5.5,95.0,100.0,2.5,2.1,0.191,0.089,0.087,0.005,N/A,-2.0
Q2020Q1,3783948,0.001,0.005,0.0004,0.012,0.51,0.004,Up,1.11,-0.247,0.003,ELEVATED_RISK,5.5,95.0,100.0,2.5,2.1,0.253,0.113,0.098,0.005,N/A,-2.0
Q2020Q3,3783948,0.001,0.006,-0.0000,0.003,1.03,0.007,Down,1.13,-0.396,0.004,ELEVATED_RISK,5.5,95.0,100.0,2.5,2.1,0.221,0.065,0.098,0.010,N/A,-2.0
Q2021Q1,3783948,0.002,0.006,0.0007,0.014,0.45,0.004,Up,1.27,-0.180,0.002,ELEVATED_RISK,5.5,95.0,100.0,2.5,2.1,0.278,0.068,0.096,0.009,N/A,-2.0
Q2021Q3,3783948,0.001,0.008,-0.0003,-0.003,0.64,0.006,Down,1.98,-0.283,0.005,ELEVATED_RISK,5.5,95.0,100.0,2.5,2.1,0.325,0.062,0.090,0.007,0.003,-2.0
Q2022Q1,3783948,0.001,0.009,0.0002,0.024,0.33,0.004,Up,1.74,-0.203,0.004,ELEVATED_RISK,5.5,95.0,100.0,2.5,2.1,0.359,0.082,0.086,0.005,N/A,-2.0
Q2022Q3,3783948,0.001,0.009,-0.0003,-0.001,0.52,0.005,Down,0.74,-0.258,0.006,ELEVATED_RISK,5.5,95.0,100.0,2.5,2.1,0.294,0.068,0.080,0.005,N/A,-2.0
Q2023Q1,3783948,0.001,0.009,0.0004,0.017,0.56,0.006,Up,0.75,-0.187,0.003,ELEVATED_RISK,5.5,95.0,100.0,2.5,2.1,0.236,0.085,0.085,0.006,N/A,-2.0
Q2023Q3,3783948,0.001,0.009,0.0000,0.002,0.69,0.007,Down,0.76,-0.300,0.005,ELEVATED_RISK,5.5,95.0,100.0,2.5,2.1,0.191,0.071,0.084,0.005,N/A,-2.0
Q2024Q1,3783948,0.001,0.009,0.0012,0.020,0.80,0.009,Up,0.86,-0.143,0.004,ELEVATED_RISK,5.5,95.0,100.0,2.5,2.1,0.174,0.084,0.098,0.008,N/A,-2.0
Q2024Q3,3783948,0.002,0.009,0.0000,0.003,1.03,0.011,Down,1.58,-0.393,0.005,ELEVATED_RISK,5.5,95.0,100.0,2.5,2.1,0.152,0.074,0.110,0.008,N/A,-2.0
Q2025Q1,3783948,0.003,0.009,0.0009,0.026,0.64,0.009,Up,1.49,-0.231,0.005,ELEVATED_RISK,5.5,95.0,100.0,2.5,2.1,0.159,0.093,0.106,0.008,0.007,-2.0